amplxe: Using result path `/scratch2/scratchdirs/marchdf/pelec-filter-scaling/vtune/0pts.nid00121'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             amplxe: Executing actions 100 % Generating a report                            amplxe: Executing actions 100 % done                                           
Function	CPU Time	Memory Bound(%)	Memory Bound:L1 Bound(%)	Memory Bound:L2 Bound(%)	Memory Bound:L3 Bound(%)	Memory Bound:DRAM Bound(%)	Memory Bound:DRAM Bound:Memory Bandwidth(%)	Memory Bound:DRAM Bound:Memory Latency(%)	Memory Bound:DRAM Bound:Memory Latency:Remote / Local memory Ratio	Loads	Stores	LLC Miss Count	LLC Miss Count:Local DRAM Access Count	LLC Miss Count:Remote DRAM Access Count	LLC Miss Count:Remote Cache Access Count	Average Latency (cycles)	Module	Function (Full)	Source File	Start Address
_INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_wait_template<kmp_flag_64>	82.445021	9.1	3.1	0.0	0.9	0.0	5.5	19.4	0.0	24791143712	3097692928	0	0	0	0	0.999706	libiomp5.so	void _INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_wait_template<kmp_flag_64>(kmp_info*, kmp_flag_64*, int, void*)	kmp_wait_release.h	0x5886a
ppm_type1	33.447009	37.6	7.6	0.0	2.6	0.0	12.8	18.9	0.0	8476254280	2389671688	0	2400072	0	0	0.998978	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	ppm_type1	ppm_3d.f90	0x714a90
pc_diffterm	29.559008	64.6	9.4	0.0	5.3	19.9	20.5	10.8	0.0	6156184680	1800054000	52801584	76002280	0	0	0.998373	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_diffterm	diffterm_3d.f90	0x71df60
riemannus	15.635004	38.0	12.6	0.0	7.0	0.0	12.1	18.2	0.0	3187295616	1412042360	0	1600048	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	riemannus	riemann_3d.F90	0x9d4b4e
fort_fab_setval	14.940004	35.9	0.8	0.0	0.0	0.6	10.1	21.5	0.0	80802424	664819944	0	0	0	0	0.961538	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	fort_fab_setval	AMReX_BaseFab_nd.f90	0x6b5f10
fort_fab_saxpy	12.094003	100.0	32.9	0.0	20.1	44.3	11.4	5.9	0.0	569617088	143204296	11200336	8800264	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	fort_fab_saxpy	AMReX_BaseFab_nd.f90	0x6b9710
__intel_ssse3_rep_memcpy	10.543003	61.8	6.7	0.0	11.1	35.7	15.6	12.9	0.0	902427072	497614928	18400552	30400912	0	0	1.000000	libintlc.so.5	__intel_ssse3_rep_memcpy	[Unknown]	0x58bf0
tracexy_ppm	7.755002	57.3	8.8	0.0	3.2	16.9	11.8	17.9	0.0	2156064680	717621528	19200576	20000600	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	tracexy_ppm	trace_ppm_3d.f90	0x70fc60
entry_SYSCALL_64	7.745002	2.4	0.8	0.0	0.0	0.6	9.4	22.0	0.0	292808784	218406552	0	0	0	0	1.000000	vmlinux	entry_SYSCALL_64	[Unknown]	0xffffffff81505b00
ctoprim	7.639002	59.7	8.0	0.0	6.8	7.3	14.0	12.0	0.0	2528875864	2534476032	800024	800024	0	0	0.997423	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	ctoprim	advection_util_nd.F90	0x95dc60
transz	7.258002	63.8	8.4	0.0	1.5	23.1	7.4	20.5	0.0	1832054960	202406072	15200456	21600648	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transz	trans_3d.F90	0x996340
pc_smagorinsky_sfs_term	7.037002	68.7	16.9	0.0	3.1	32.1	13.4	17.3	0.0	1455243656	556016680	11200336	15200456	0	0	0.996835	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_smagorinsky_sfs_term	lesterm_3d.f90	0x72dc00
entry_SYSCALL_64_fastpath	6.998002	6.1	2.2	0.0	0.6	0.0	11.1	18.8	0.0	465613968	202406072	0	0	0	0	1.000000	vmlinux	entry_SYSCALL_64_fastpath	[Unknown]	0xffffffff81505b95
transxy	6.449002	58.8	5.3	0.0	4.3	18.4	3.4	20.9	0.0	1552846584	292808784	8800264	5600168	0	0	0.997333	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transxy	trans_3d.F90	0x99d9b0
actual_eos_top	6.250002	26.6	6.2	0.0	0.0	0.9	4.9	20.3	0.0	292808784	800024	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_top	gamma_law.F90	0x917e20
